winner,referee,method_of_victory,red_Knockdowns,blue_Knockdowns,red_sig_str,blue_sig_str,red_sig_str_percentage,blue_sig_str_percentage,red_total_strikes,blue_total_strikes,red_total_strikes_percentage,blue_total_strikes_percentage,red_takedowns,blue_takedowns,red_takedown_percentage,blue_takedown_percentage,red_subs_attempted,blue_subs_attempted
0,139,6,0,0,85,87,44,47,118,100,50,51,1,0,33,0,0,2
0,46,6,0,0,55,47,52,49,83,64,59,52,1,1,50,7,0,0
1,5,9,0,0,60,69,55,37,78,112,60,47,0,3,0,60,1,0
2,153,9,1,0,84,80,41,44,262,199,64,66,1,4,50,57,1,1
1,179,9,0,0,127,105,35,55,127,105,36,55,0,0,0,0,0,0
0,46,2,1,0,18,6,60,31,19,6,61,32,0,0,0,0,0,0
0,179,7,0,0,36,38,35,46,36,38,36,46,0,0,0,0,1,0
1,70,6,0,0,72,82,34,44,73,83,35,45,0,0,0,0,0,0
0,153,7,1,0,21,3,67,23,37,34,73,71,5,0,100,0,6,0
0,46,2,1,0,49,38,58,32,54,38,60,33,0,0,0,0,0,0
2,70,5,0,0,12,4,60,28,12,8,60,44,0,1,0,50,1,0
0,179,6,0,0,103,77,48,37,116,95,52,42,0,2,0,20,0,0
1,46,2,0,1,14,43,36,59,15,43,38,60,0,0,0,0,0,0
0,70,6,0,0,81,8,63,27,147,39,71,61,3,0,75,0,0,0
1,74,6,0,1,94,137,34,52,94,137,35,53,0,0,0,0,0,0
1,153,7,0,1,28,93,41,65,30,107,43,65,0,0,0,0,0,1
0,50,6,1,0,112,99,61,32,116,101,62,33,1,0,100,0,0,0
0,215,2,1,0,11,7,78,50,11,7,79,47,0,0,0,0,0,0
0,74,2,1,0,16,8,55,33,16,9,55,36,0,0,0,0,0,0
0,153,7,1,0,81,58,52,48,91,60,55,49,1,1,50,50,1,0
1,50,2,0,0,41,38,60,43,43,87,61,61,0,1,0,100,0,0
0,215,6,0,0,88,83,49,44,88,85,49,45,0,0,0,0,0,0
0,74,6,0,0,171,148,45,41,172,152,46,42,0,0,0,0,0,0
1,153,6,0,0,44,35,46,46,75,63,55,56,0,1,0,16,0,0
1,50,7,0,0,1,2,25,33,1,2,25,33,0,1,0,50,0,1
0,215,7,0,0,29,39,50,66,39,45,57,68,1,0,100,0,1,0
0,74,2,0,0,109,11,69,25,110,11,70,25,0,0,0,0,0,0
0,10,6,0,0,58,60,25,40,62,60,27,39,0,0,0,0,0,0
0,90,2,0,0,101,24,55,38,123,27,59,40,5,1,55,33,0,1
0,74,7,1,0,26,8,56,32,36,10,56,37,1,0,100,0,1,0
0,83,2,0,0,52,28,59,38,61,40,62,45,0,0,0,0,2,0
0,10,2,1,0,26,9,53,21,26,9,53,22,0,0,0,0,0,0
0,90,6,0,0,84,48,51,36,87,70,52,42,0,2,0,18,0,0
0,83,6,0,0,98,77,53,42,124,90,56,45,6,0,60,0,0,0
0,90,6,0,0,40,18,51,42,85,75,63,62,0,5,0,62,0,1
0,83,7,0,0,4,7,66,87,25,25,69,96,2,0,40,0,1,0
1,10,6,0,0,39,126,15,57,39,127,15,57,0,0,0,0,0,0
0,217,2,2,0,75,34,58,27,75,35,59,28,0,0,0,0,1,0
0,26,9,0,0,91,59,61,31,91,62,62,32,1,0,33,0,0,0
0,74,6,0,0,65,62,46,36,65,62,46,37,0,0,0,0,0,0
0,147,6,0,0,36,15,63,22,56,50,67,47,4,0,100,0,3,1
0,126,6,0,0,61,55,47,36,119,96,57,48,0,0,0,0,0,0
0,74,2,1,0,8,2,61,22,11,3,69,30,0,0,0,0,0,0
0,26,2,1,0,15,14,33,63,16,15,35,65,0,0,0,0,0,0
1,147,2,0,1,15,45,48,58,15,45,48,58,0,0,0,0,0,0
1,126,2,0,0,29,44,50,61,30,54,52,64,0,1,0,100,0,0
0,74,6,1,0,75,112,50,43,85,112,53,43,0,0,0,0,0,0
0,26,2,1,0,40,17,47,32,43,17,48,32,0,0,0,0,0,0
