winner,referee,method_of_victory,red_Knockdowns,blue_Knockdowns,red_sig_str,blue_sig_str,red_sig_str_percentage,blue_sig_str_percentage,red_total_strikes,blue_total_strikes,red_total_strikes_percentage,blue_total_strikes_percentage,red_takedowns,blue_takedowns,red_takedown_percentage,blue_takedown_percentage,red_subs_attempted,blue_subs_attempted
1,139,2,0,1,4,5,44,55,4,5,44,56,0,0,0,0,0,0
0,131,6,0,0,73,58,40,25,109,74,50,30,0,1,0,50,0,0
0,103,2,1,0,68,23,50,27,73,23,51,27,0,0,0,0,0,0
1,108,9,0,0,32,55,25,39,64,83,40,49,1,0,33,0,0,0
0,153,7,0,0,69,63,56,49,84,102,61,61,0,4,0,57,1,0
1,191,3,0,0,78,85,45,45,81,104,46,50,0,1,0,25,0,0
1,147,7,0,0,3,13,33,72,3,14,33,74,0,2,0,100,0,1
0,153,7,1,0,94,32,55,26,99,40,57,30,3,0,100,0,1,0
0,126,6,0,0,63,42,47,30,64,48,48,33,3,0,60,0,0,0
0,107,9,0,0,78,44,55,41,94,82,59,55,0,2,0,33,0,0
1,147,6,0,0,55,66,41,50,66,73,45,53,0,1,0,100,0,0
1,191,6,0,0,78,71,33,30,83,78,35,32,1,4,20,36,0,0
1,153,2,0,1,8,20,36,54,8,21,36,55,0,0,0,0,0,0
0,107,9,0,0,99,65,65,41,112,77,68,45,1,1,16,33,0,0
0,126,6,1,0,39,34,28,44,43,48,30,52,0,0,0,0,0,0
0,153,2,1,0,8,3,72,50,9,10,75,77,0,1,0,25,0,0
0,131,6,0,0,96,50,56,52,136,99,64,63,0,3,0,75,0,0
2,37,5,0,0,54,26,51,26,54,26,51,27,0,0,0,0,0,0
0,153,2,0,0,25,8,69,42,28,8,72,42,1,0,50,0,0,0
0,146,2,0,0,34,12,50,42,40,15,54,48,0,0,0,0,0,0
1,48,9,0,0,29,57,54,47,66,77,67,55,6,1,40,100,0,0
0,131,7,0,0,6,27,75,71,8,37,73,76,0,1,0,100,1,0
0,37,6,0,0,113,98,47,38,126,104,50,40,5,1,35,100,1,0
1,48,6,0,0,42,111,27,44,52,150,32,52,1,0,6,0,0,0
0,153,2,2,0,22,12,50,54,23,16,51,62,0,0,0,0,0,0
1,37,6,0,1,107,119,36,56,128,148,41,62,0,2,0,66,0,0
0,48,7,0,0,10,22,45,57,23,37,56,67,2,1,66,100,4,1
1,146,6,0,0,32,93,29,61,32,93,30,62,0,0,0,0,0,0
0,153,6,0,0,180,58,60,36,226,71,65,41,3,1,60,11,1,1
0,131,6,0,0,135,86,46,43,143,109,48,48,0,0,0,0,0,0
0,153,2,1,0,11,9,50,50,15,10,54,53,0,0,0,0,0,0
1,65,6,0,0,20,74,13,35,50,84,29,39,0,2,0,100,0,0
0,153,9,0,0,48,51,43,42,51,60,44,47,4,1,57,50,0,2
0,131,9,0,0,64,72,35,35,64,72,36,36,0,0,0,0,0,0
0,65,7,0,0,17,17,35,45,17,22,35,52,0,2,0,66,1,0
0,198,2,2,0,139,88,62,36,141,89,63,37,2,0,100,0,0,0
1,153,6,0,1,75,81,45,31,94,87,50,33,4,0,80,0,0,0
0,131,7,0,0,8,26,61,68,8,33,62,73,0,1,0,33,1,0
0,198,2,0,0,80,50,60,38,87,67,62,45,0,0,0,0,2,0
0,65,2,1,0,35,8,57,19,35,8,57,19,1,0,100,0,0,0
0,153,6,0,0,85,39,41,21,86,39,42,21,0,0,0,0,0,0
0,131,6,0,0,74,54,46,36,78,60,48,39,1,1,50,100,0,0
1,74,2,0,2,32,40,27,42,32,40,28,42,0,0,0,0,0,0
1,180,6,0,1,37,98,31,47,38,104,32,49,0,0,0,0,0,0
1,197,7,0,0,21,23,42,54,22,40,43,67,0,6,0,75,0,1
1,74,9,0,0,24,32,25,30,24,49,25,40,0,2,0,33,0,0
1,215,2,0,1,6,4,66,33,17,6,85,43,0,0,0,0,0,0
0,50,6,0,0,59,15,44,13,61,15,45,14,0,0,0,0,0,0
0,197,6,0,0,48,60,50,38,127,103,64,52,3,0,75,0,0,1
0,74,6,0,0,91,36,59,37,104,41,62,41,1,3,100,20,0,1
0,180,7,0,0,10,2,55,40,22,32,67,71,1,0,50,0,1,0
1,215,2,0,1,45,80,34,44,53,83,38,45,1,0,50,0,0,0
2,50,5,1,0,38,20,43,40,74,51,58,58,0,2,0,18,1,0
1,74,2,0,1,20,28,47,52,22,29,49,54,1,0,16,0,0,0
0,191,2,0,0,22,0,75,0,24,0,77,0,1,0,50,0,0,0
1,67,6,0,0,20,30,55,39,26,46,58,46,0,1,0,33,0,1
0,74,2,0,0,15,5,57,41,16,5,59,42,4,0,80,0,0,0
1,191,7,0,0,37,14,47,29,39,20,49,37,0,1,0,50,0,1
0,186,6,0,0,31,18,36,38,64,31,52,48,1,3,25,75,0,0
1,67,2,0,1,2,5,18,62,2,5,18,62,0,0,0,0,0,0
1,121,6,0,0,36,54,31,31,37,56,32,33,0,0,0,0,0,0
1,74,6,0,0,12,69,12,54,14,149,14,68,0,3,0,100,0,0
1,186,9,0,0,34,59,34,49,36,71,35,53,3,1,42,50,0,0
1,191,6,0,0,26,21,55,53,58,49,62,54,0,2,0,50,0,0
0,67,6,0,0,40,25,40,35,45,51,41,47,4,0,57,0,0,0
0,121,7,0,0,46,6,50,16,81,9,58,23,4,0,57,0,1,0
2,153,0,0,0,2,0,100,0,2,0,100,0,0,0,0,0,0,0
0,179,3,0,0,44,45,55,43,115,103,73,61,4,0,36,0,0,1
2,139,9,1,0,34,30,41,47,70,53,58,59,1,4,100,36,0,0
0,200,6,0,0,125,68,37,27,127,68,38,27,0,0,0,0,0,0
1,153,2,0,1,86,49,43,46,93,53,45,49,2,0,40,0,0,0
0,139,6,1,0,60,32,51,27,71,37,55,31,2,0,40,0,0,0
1,179,2,0,0,6,12,60,75,7,12,64,75,0,0,0,0,0,0
1,200,8,0,0,72,92,38,50,83,93,42,50,0,0,0,0,0,0
0,153,6,0,0,96,40,37,23,96,43,38,25,0,0,0,0,0,0
1,139,7,0,1,1,18,33,66,1,33,33,77,0,1,0,100,0,1
1,179,6,0,0,77,59,45,46,94,77,51,53,1,0,20,0,0,0
0,200,6,0,0,22,2,64,22,101,5,87,42,4,0,66,0,2,0
1,40,2,0,1,17,40,32,65,17,40,33,66,0,0,0,0,0,0
0,187,9,0,0,43,47,60,49,85,74,71,60,1,2,16,50,2,1
2,171,0,1,0,30,16,45,55,38,26,51,67,1,0,33,0,0,0
1,179,6,0,0,32,64,42,51,56,151,52,68,2,0,40,0,0,1
0,40,9,1,0,34,22,43,31,41,81,48,55,0,3,0,37,0,0
0,187,7,0,0,6,21,60,60,22,28,76,62,1,0,50,0,1,0
1,179,2,0,1,6,15,85,55,6,15,86,56,0,0,0,0,0,0
1,40,9,0,0,11,31,19,47,26,63,35,61,1,1,16,50,0,0
1,127,6,0,0,21,41,35,34,40,55,48,41,3,0,25,0,0,0
0,187,6,0,0,21,37,35,42,80,66,64,54,1,1,33,100,3,2
0,127,2,1,0,59,30,51,37,60,31,52,38,0,0,0,0,0,0
1,171,6,0,0,44,51,36,45,46,136,37,57,0,3,0,60,0,0
0,74,7,0,0,22,12,53,30,54,30,70,53,7,0,87,0,2,1
1,153,9,0,0,60,56,52,36,77,75,58,43,1,0,33,0,0,0
0,166,6,1,0,43,7,45,12,88,27,59,34,0,0,0,0,0,0
0,74,2,0,0,25,3,58,37,46,3,62,38,5,0,100,0,0,0
1,153,6,0,0,51,109,31,33,51,112,32,34,0,0,0,0,0,0
0,182,9,0,0,101,61,43,44,158,104,54,56,2,3,50,60,0,0
2,153,9,1,0,22,28,37,35,28,65,41,56,6,0,75,0,0,2
1,74,2,0,0,19,44,42,50,45,130,58,68,2,0,66,0,0,1
0,166,2,1,0,27,8,50,42,27,8,51,42,0,0,0,0,0,0
0,182,7,0,0,49,29,46,32,78,34,53,36,2,1,22,50,1,0
1,153,2,0,1,6,10,23,43,6,10,23,43,0,0,0,0,0,0
0,217,6,0,0,26,17,33,24,47,24,44,32,2,0,66,0,0,0
0,166,6,0,0,21,10,42,32,72,70,65,73,3,0,25,0,0,0
1,191,2,0,1,4,29,33,76,4,29,33,76,0,0,0,0,0,0
0,180,2,3,0,59,54,46,33,59,55,46,34,2,0,66,0,0,0
0,197,6,1,0,91,60,47,30,93,63,48,32,1,1,100,14,0,0
0,180,6,0,0,58,33,45,38,61,52,47,50,0,3,0,50,0,1
1,126,9,0,0,123,93,45,45,136,102,48,48,0,0,0,0,0,0
1,197,7,0,0,81,59,54,53,84,74,55,57,0,6,0,66,0,1
0,126,6,0,0,93,23,59,31,103,27,61,36,1,0,100,0,0,0
0,191,7,0,0,81,88,42,52,86,95,44,54,0,1,0,16,1,0
0,180,6,1,0,71,36,37,31,73,37,38,32,0,0,0,0,0,0
0,197,6,0,0,36,85,40,36,63,119,47,44,3,0,42,0,0,0
0,126,9,1,0,171,165,48,56,177,169,49,57,0,0,0,0,0,0
1,153,2,0,1,181,123,68,53,230,135,73,55,1,1,33,33,0,0
1,98,6,0,1,69,114,51,56,86,205,56,67,0,1,0,100,1,0
1,179,6,1,1,125,118,44,55,125,118,44,55,1,0,25,0,0,0
1,153,2,0,1,24,34,33,43,24,34,33,43,0,0,0,0,0,0
0,98,6,0,0,81,58,43,40,102,65,49,43,2,0,20,0,0,0
1,179,2,0,1,15,21,55,41,15,21,56,41,0,0,0,0,0,0
1,185,6,0,0,45,62,55,53,65,78,63,58,4,0,66,0,0,0
1,24,6,0,0,87,99,56,61,113,159,61,71,2,2,40,28,1,0
1,185,6,0,0,37,43,62,62,59,56,71,66,3,2,75,100,0,1
0,179,6,0,0,70,43,42,33,112,69,54,44,1,3,100,37,1,0
0,24,9,1,0,50,77,49,41,120,114,67,49,3,1,50,100,0,0
0,185,6,0,0,108,33,63,33,170,102,68,58,4,0,100,0,0,0
0,103,6,0,0,42,18,36,23,84,132,53,69,1,0,100,0,0,0
0,125,9,0,0,84,87,46,49,85,116,47,57,0,0,0,0,1,0
0,161,6,0,0,65,32,56,45,69,59,57,60,1,4,100,40,0,0
0,103,2,2,0,64,18,46,30,92,20,55,32,0,1,0,20,0,0
0,161,7,0,0,18,22,46,51,37,51,60,67,3,0,42,0,1,0
0,1,9,0,0,83,90,34,38,88,98,36,40,3,0,42,0,0,0
0,103,6,0,0,42,47,50,46,63,115,59,67,3,0,42,0,0,0
0,125,7,0,0,15,7,68,17,20,9,71,21,0,0,0,0,1,0
1,1,6,0,0,41,84,37,50,58,98,46,53,0,1,0,25,0,1
0,161,8,0,0,8,3,53,20,8,7,50,37,2,0,40,0,0,0
1,125,9,0,0,40,48,35,55,57,49,43,56,2,1,28,50,0,0
1,1,6,0,0,20,17,47,43,59,88,64,68,0,3,0,75,0,0
0,103,7,0,0,1,1,100,33,1,1,100,33,0,1,0,100,1,0
0,103,6,0,0,179,78,34,46,201,82,37,48,10,0,55,0,0,0
0,153,7,0,0,2,2,25,40,2,2,25,40,0,0,0,0,1,0
1,103,2,0,1,15,21,26,55,15,21,27,55,0,0,0,0,0,0
1,153,7,0,0,8,6,53,31,27,31,71,56,1,1,100,33,0,1
0,58,8,1,0,44,16,47,27,55,20,51,32,1,1,50,33,0,0
1,28,6,0,0,60,50,44,40,63,50,46,41,4,0,40,0,0,0
0,28,6,0,0,50,48,42,50,66,65,49,55,1,0,14,0,0,0
0,8,7,0,0,16,6,69,37,36,12,82,50,0,1,0,20,3,0
1,58,7,0,0,5,3,83,25,5,3,83,25,0,0,0,0,0,1
0,8,2,1,0,24,22,19,30,35,35,24,40,0,1,0,33,0,0
0,28,7,0,0,32,2,86,33,32,2,84,33,1,0,100,0,1,0
0,153,6,0,0,61,55,42,33,77,58,48,34,0,0,0,0,0,0
0,153,6,0,0,129,96,39,36,131,96,40,36,0,1,0,6,0,0
0,187,6,0,0,122,38,56,44,138,64,59,56,0,0,0,0,0,0
0,139,2,0,1,41,24,67,42,53,42,73,53,2,0,50,0,0,0
1,74,6,0,0,23,47,47,44,36,110,59,63,0,2,0,18,0,0
1,153,9,0,0,39,40,50,34,62,98,61,54,1,1,33,14,0,0
1,187,6,0,0,68,67,49,45,134,79,63,49,0,2,0,100,0,0
0,181,2,1,0,80,39,51,49,89,41,54,51,0,0,0,0,0,0
0,74,7,0,0,37,23,59,23,49,42,64,36,5,2,38,100,2,0
1,139,6,0,1,61,67,40,59,68,71,42,61,2,2,20,66,0,0
0,181,2,0,0,29,9,69,45,51,33,80,72,2,0,66,0,0,0
0,74,6,0,0,37,23,58,35,67,68,68,57,4,0,36,0,0,0
1,139,6,0,0,81,92,47,42,129,113,59,46,0,3,0,30,0,0
1,190,2,0,1,1,4,33,57,1,4,33,57,0,0,0,0,0,0
0,139,2,0,0,36,3,94,42,36,3,95,43,0,0,0,0,0,0
1,5,2,0,1,7,22,30,53,7,22,30,54,0,0,0,0,0,0
0,47,6,0,0,25,25,27,48,26,28,28,51,0,0,0,0,0,0
0,5,6,0,0,152,70,57,39,160,75,59,41,0,0,0,0,0,0
0,139,6,0,0,94,67,47,30,95,87,48,36,0,2,0,100,0,0
0,47,9,0,0,47,52,34,28,86,75,48,36,1,0,16,0,0,0
1,190,6,0,0,28,36,36,40,67,61,57,53,0,1,0,33,0,0
1,190,6,0,0,29,83,26,47,76,111,47,54,0,0,0,0,0,0
0,139,6,0,0,15,8,65,50,23,58,68,76,6,1,66,16,1,0
0,5,6,0,0,129,95,52,47,179,106,59,50,0,2,0,40,0,0
1,47,9,0,0,11,23,52,54,69,92,78,70,2,2,40,25,1,0
0,153,2,1,0,4,0,80,0,4,0,80,0,0,0,0,0,0,0
0,98,2,1,0,11,4,73,50,11,4,73,50,0,0,0,0,0,0
0,179,2,1,0,27,10,51,15,33,10,55,15,0,0,0,0,0,0
0,116,9,0,0,50,25,62,49,79,38,70,57,0,4,0,57,0,2
0,153,6,0,0,78,39,52,44,106,41,60,46,2,0,50,0,0,0
2,98,5,0,0,70,55,43,42,95,75,51,49,0,4,0,66,0,3
0,179,2,1,0,19,11,34,50,20,11,34,50,0,0,0,0,0,0
0,94,6,0,0,45,38,50,48,108,59,68,57,2,3,50,60,0,0
1,116,6,0,2,29,36,23,43,31,40,24,43,0,0,0,0,0,1
1,94,2,0,1,27,32,18,28,27,32,18,28,0,0,0,0,0,0
1,179,6,0,0,23,72,34,38,30,88,41,43,2,3,66,75,0,0
0,94,6,0,1,54,64,40,43,54,67,41,45,0,0,0,0,0,0
0,153,9,0,0,59,43,65,25,59,43,66,26,0,0,0,0,0,0
0,74,2,1,0,17,11,48,78,17,14,47,82,0,0,0,0,0,0
0,179,2,1,0,3,0,100,0,3,0,100,0,0,0,0,0,0,0
0,153,2,1,0,30,14,71,38,38,17,76,44,0,0,0,0,0,0
1,46,6,0,0,7,47,63,70,23,98,74,74,1,5,50,83,0,0
1,74,6,0,0,23,102,20,53,27,102,23,53,0,1,0,50,0,0
0,70,7,0,0,10,22,37,47,26,28,48,53,1,1,100,50,1,0
0,179,6,0,0,40,25,37,22,41,26,38,24,0,0,0,0,0,0
1,153,2,0,1,1,8,7,40,1,8,7,40,0,0,0,0,0,0
0,74,7,0,0,13,0,54,0,13,0,54,0,1,0,100,0,1,0
1,46,6,0,0,21,4,48,16,56,48,68,43,2,2,100,25,0,0
0,70,6,1,0,49,33,40,39,66,39,46,41,0,1,0,50,0,0
0,153,2,1,0,9,4,47,66,9,4,47,67,0,0,0,0,0,0
1,179,2,0,1,15,50,31,43,15,72,31,52,1,0,33,0,0,0
0,118,3,0,0,3,22,25,23,74,36,86,33,3,0,33,0,0,0
1,78,6,0,0,31,60,35,59,34,81,38,66,2,3,66,50,0,1
0,179,2,1,0,16,5,59,35,17,5,59,36,0,0,0,0,0,0
0,153,2,0,0,8,7,36,53,8,21,35,75,0,0,0,0,0,0
0,78,6,0,0,40,38,33,30,48,41,37,32,3,0,100,0,0,1
0,118,2,1,0,11,2,73,66,13,2,76,67,0,0,0,0,0,0
0,153,6,0,0,48,34,60,46,171,37,78,47,2,2,33,100,0,1
0,78,2,1,0,32,13,74,43,64,32,80,64,4,0,66,0,0,0
1,118,7,0,0,7,21,28,51,18,67,49,73,0,2,0,40,0,2
0,179,2,2,0,37,19,44,43,39,22,46,47,0,0,0,0,0,0
1,116,2,0,1,0,16,0,66,0,18,0,69,0,0,0,0,0,0
1,139,2,0,1,47,89,46,58,122,91,69,59,0,0,0,0,0,0
0,28,6,0,0,73,35,42,26,74,63,43,39,0,2,0,22,0,0
0,28,6,0,0,73,14,57,13,82,40,61,29,1,5,33,41,0,1
0,116,6,0,0,58,51,49,60,192,62,76,64,0,2,0,50,0,0
0,105,6,1,0,71,33,56,31,92,65,63,48,1,1,25,100,0,0
0,28,6,0,0,75,23,75,57,147,35,76,62,1,0,20,0,0,1
1,139,2,0,0,24,87,57,58,28,98,61,61,1,1,33,100,0,1
1,116,2,0,1,0,4,0,100,0,4,0,100,0,0,0,0,0,0
1,105,6,0,0,68,108,25,50,68,109,25,51,0,2,0,100,0,0
0,139,6,0,0,169,108,46,48,171,108,46,48,0,0,0,0,0,0
0,74,2,0,0,90,57,52,47,99,59,54,49,1,0,25,0,1,0
0,38,2,1,0,8,2,72,16,37,42,92,81,2,0,100,0,1,0
0,139,8,0,0,104,68,52,36,104,68,52,37,0,1,0,100,0,0
1,131,6,0,2,73,56,38,29,76,58,39,30,0,1,0,33,0,0
1,139,6,0,1,64,73,44,59,66,81,45,62,0,2,0,100,0,0
0,38,6,0,0,75,48,52,48,95,54,57,51,4,0,30,0,0,0
0,74,6,0,0,174,105,49,39,175,108,50,40,0,0,0,0,0,0
1,131,6,0,0,90,148,38,40,92,163,39,42,0,0,0,0,0,1
1,139,2,0,1,12,22,41,53,12,22,41,54,0,0,0,0,0,0
0,38,6,0,0,94,71,37,49,105,78,40,52,1,1,100,33,0,1
1,74,6,0,0,31,30,36,41,45,40,46,48,0,0,0,0,0,0
0,131,2,2,0,74,55,43,36,74,55,43,37,0,0,0,0,0,0
0,139,6,0,0,82,112,37,42,108,141,43,47,0,3,0,75,0,0
1,74,7,0,0,72,49,47,47,73,51,48,48,1,0,33,0,0,1
1,147,2,0,1,2,2,66,28,2,2,67,29,0,0,0,0,0,0
0,74,7,0,0,9,16,33,30,18,16,50,31,1,0,50,0,1,0
1,10,6,0,0,24,47,39,41,42,67,48,48,1,6,100,46,0,0
0,186,6,0,0,40,21,48,33,49,23,53,35,1,1,16,33,0,1
1,191,6,0,1,39,60,39,40,40,60,39,40,2,1,40,16,0,0
1,147,6,0,0,6,50,54,73,68,151,82,83,1,1,25,50,0,0
1,74,2,0,1,2,12,18,75,2,12,18,75,0,0,0,0,0,0
1,191,2,0,0,37,100,46,49,45,105,52,50,1,0,33,0,0,0
0,217,7,0,0,19,42,26,39,30,48,37,43,0,3,0,60,2,0
1,147,6,0,0,26,40,47,42,50,90,61,60,1,2,33,18,0,0
0,186,2,0,0,19,13,46,65,87,56,77,82,0,2,0,100,0,0
0,139,7,0,0,60,35,54,36,75,40,60,39,4,6,57,37,1,0
1,108,6,0,0,15,39,45,58,25,79,58,69,4,1,36,100,0,0
1,103,7,0,0,3,22,50,70,5,25,62,74,0,1,0,50,0,1
0,139,2,1,0,18,6,72,33,18,9,72,39,0,1,0,50,0,0
0,108,2,1,0,38,18,64,36,43,21,67,40,0,2,0,50,1,0
0,103,6,0,0,63,44,55,37,76,46,59,39,3,0,42,0,0,0
0,103,6,0,0,69,77,55,46,85,80,59,48,3,2,75,40,3,0
0,139,6,0,0,78,55,54,37,85,55,56,38,4,0,100,0,0,0
1,108,2,0,1,2,6,50,54,2,6,50,55,0,0,0,0,0,0
1,103,7,0,0,20,27,48,48,24,34,53,54,0,3,0,30,0,1
1,139,2,0,1,22,11,66,31,22,14,67,37,1,0,50,0,0,0
0,108,7,1,0,34,31,34,48,41,36,38,52,0,0,0,0,1,0
0,103,2,1,0,74,43,46,26,74,46,46,28,1,0,100,0,0,0
1,74,2,1,0,55,47,44,44,55,49,44,46,0,2,0,50,1,0
0,153,2,1,0,17,8,54,53,18,8,56,53,0,0,0,0,0,0
1,74,6,0,0,29,95,36,53,39,129,43,60,0,0,0,0,0,0
1,161,6,0,0,58,54,39,26,59,57,40,28,1,1,33,100,0,0
0,125,7,0,0,83,81,33,41,84,81,34,41,0,0,0,0,1,0
1,153,2,0,1,6,13,25,40,6,13,25,41,0,1,0,50,0,1
0,74,6,0,0,66,39,64,33,115,108,72,57,4,2,66,33,1,0
0,161,2,1,0,72,20,45,32,72,20,46,32,0,0,0,0,0,0
1,153,6,0,0,64,80,36,38,74,113,39,47,0,1,0,50,0,0
0,1,6,1,0,111,69,48,46,126,69,50,46,0,0,0,0,3,0
0,125,2,1,0,59,20,47,15,70,20,51,16,0,0,0,0,1,0
1,1,2,0,1,46,61,33,53,51,66,36,55,0,3,0,100,0,0
1,40,6,0,2,90,138,40,38,90,140,40,39,0,0,0,0,0,0
0,108,6,0,0,56,65,59,38,65,87,63,45,4,0,44,0,0,0
1,187,9,0,0,129,134,50,50,132,147,51,52,0,0,0,0,0,0
1,131,6,0,0,32,55,57,53,43,215,61,78,0,5,0,55,0,0
0,40,2,1,0,17,1,60,33,17,1,61,33,0,0,0,0,0,0
1,108,6,0,0,69,72,53,48,76,102,55,56,0,2,0,25,0,0
0,187,2,0,0,43,9,65,81,82,29,77,76,0,1,0,33,0,1
1,131,6,0,0,28,59,34,30,29,59,35,30,1,0,20,0,0,0
0,40,6,0,0,90,52,44,33,90,53,45,34,0,0,0,0,0,0
1,108,7,0,0,26,75,27,51,32,106,31,59,2,0,20,0,4,1
0,187,6,0,0,41,81,66,43,69,107,73,50,2,0,100,0,0,0
1,131,6,1,0,15,38,27,43,23,56,37,50,0,2,0,50,2,2
1,139,6,0,0,90,148,51,39,120,256,59,52,0,3,0,30,0,1
0,103,2,0,0,14,1,46,33,17,1,52,33,0,0,0,0,0,0
1,128,6,0,0,48,65,35,59,50,75,36,62,0,0,0,0,0,0
0,172,7,0,0,30,74,52,54,35,74,56,55,0,0,0,0,1,0
1,139,9,0,0,106,120,41,43,106,128,41,45,1,2,50,50,1,0
0,103,6,0,0,53,30,62,42,95,86,72,66,2,1,50,100,0,0
1,128,2,0,1,46,28,51,40,47,33,52,45,0,0,0,0,0,0
1,139,9,0,0,75,42,42,31,82,51,45,36,0,0,0,0,0,0
0,172,6,0,0,25,17,49,45,97,64,76,72,4,3,40,33,0,0
0,103,7,0,0,49,13,56,29,81,17,66,35,3,0,50,0,1,0
0,128,7,0,0,6,10,54,40,8,10,57,40,2,0,100,0,1,0
0,172,6,0,0,117,57,49,19,118,57,50,20,0,0,0,0,0,0
1,139,9,1,0,65,65,28,40,69,67,30,42,0,0,0,0,0,0
0,74,2,1,0,29,38,87,65,31,78,89,77,0,0,0,0,0,0
0,153,6,0,0,14,13,70,30,47,60,89,67,4,1,44,8,0,0
0,191,2,1,0,17,5,65,33,17,5,65,33,0,0,0,0,0,0
0,74,9,0,0,33,64,41,55,105,87,65,60,5,0,83,0,0,0
0,153,6,0,0,43,6,62,35,111,6,74,35,4,0,100,0,0,0
0,182,6,0,0,50,26,64,44,121,94,78,69,5,0,31,0,0,0
0,191,6,0,0,25,29,39,35,32,57,46,52,2,0,28,0,0,0
0,74,7,0,0,14,8,73,42,18,10,78,43,1,1,50,33,1,0
1,153,2,0,1,28,36,40,41,28,36,40,41,0,0,0,0,0,0
1,191,2,0,3,6,8,46,80,6,8,46,80,0,0,0,0,0,0
0,182,2,1,0,10,1,83,100,11,1,85,100,0,0,0,0,0,0
1,116,6,0,0,181,178,40,46,208,180,44,47,0,1,0,12,1,0
1,74,6,0,4,91,109,41,45,92,119,41,48,1,0,11,0,0,2
1,179,6,0,4,16,79,23,50,19,83,26,51,0,0,0,0,0,0
1,24,9,0,0,24,38,24,31,25,39,25,32,1,0,50,0,0,0
1,116,7,0,0,4,27,50,61,8,60,67,76,3,1,37,50,0,2
1,74,6,0,0,35,31,30,40,42,49,34,52,0,4,0,30,1,2
1,179,2,0,1,1,23,16,69,2,26,29,72,1,0,25,0,0,0
0,24,3,0,0,47,64,51,42,72,78,60,47,6,0,54,0,3,0
1,116,2,0,1,0,5,0,100,0,5,0,100,0,0,0,0,0,0
1,74,6,0,0,48,47,50,43,50,126,51,58,0,2,0,33,0,0
0,179,6,0,0,64,30,59,48,160,41,73,56,3,1,75,100,0,0
1,24,6,0,0,47,47,40,55,105,152,58,75,0,2,0,100,0,0
0,179,7,0,0,35,46,39,45,40,49,43,47,0,0,0,0,1,0
1,103,2,0,1,13,20,40,57,13,22,41,59,0,0,0,0,0,0
1,139,7,0,0,1,3,16,30,1,3,17,30,0,1,0,50,0,1
0,103,2,1,0,22,24,25,18,22,24,25,19,0,0,0,0,0,0
1,139,6,0,0,57,64,48,42,77,82,55,49,0,2,0,50,0,1
1,103,7,0,0,40,25,55,32,47,31,59,37,0,1,0,6,0,2
0,139,6,1,0,73,54,49,45,99,58,56,48,0,0,0,0,0,0
0,103,6,1,0,118,50,58,43,129,63,61,50,0,0,0,0,0,1
1,151,2,0,1,12,25,50,78,12,25,50,78,0,1,0,50,0,0
1,92,6,0,0,52,58,41,23,53,58,42,24,0,0,0,0,0,0
0,139,9,0,0,27,10,62,76,76,44,78,79,1,6,50,54,2,4
1,151,6,0,0,17,32,48,61,22,46,55,68,7,2,70,66,0,0
1,103,6,0,0,64,56,44,29,73,74,46,36,0,1,0,11,0,0
0,92,6,0,0,60,26,54,30,150,74,68,53,2,0,50,0,0,0
1,153,2,0,1,47,32,43,58,47,32,44,58,0,0,0,0,0,0
0,103,6,0,0,22,2,66,22,72,9,80,56,7,0,63,0,0,0
0,153,6,0,0,73,37,53,32,75,37,54,32,0,0,0,0,0,0
0,103,6,0,0,26,14,50,28,51,41,65,51,3,0,60,0,0,0
0,153,6,0,0,52,34,46,40,66,57,52,52,1,4,33,50,0,1
0,103,2,0,0,55,25,50,29,59,28,51,32,0,0,0,0,0,0
0,124,6,0,0,17,9,38,21,28,25,50,40,0,5,0,62,2,2
0,105,2,1,0,12,4,75,40,13,4,76,40,0,0,0,0,0,0
1,217,6,0,0,72,60,59,46,107,70,61,49,1,0,50,0,0,0
0,103,7,0,0,13,2,50,28,20,2,61,29,1,0,100,0,1,0
1,124,6,0,0,15,69,20,57,15,70,20,57,0,0,0,0,0,0
1,105,6,0,0,25,47,30,44,25,47,31,45,0,1,0,33,0,0
1,74,2,1,1,21,35,48,48,22,41,50,52,1,1,100,50,0,0
0,147,9,1,0,31,9,63,50,47,27,68,71,2,3,66,75,0,0
1,191,9,0,0,35,44,35,36,48,47,43,38,1,0,14,0,0,0
0,10,7,0,0,30,34,37,56,39,35,43,57,2,1,66,25,2,0
1,147,7,0,0,26,19,57,50,29,35,60,62,0,3,0,60,0,4
0,74,9,0,1,31,32,20,33,31,35,21,35,0,0,0,0,0,0
0,191,6,1,0,37,30,33,28,41,30,35,29,0,0,0,0,0,0
0,107,6,1,0,63,15,59,25,80,24,64,34,3,1,75,33,0,0
1,191,6,0,0,11,70,40,81,20,139,56,89,0,3,0,60,0,0
1,74,7,0,1,4,10,57,58,4,10,57,59,0,1,0,100,0,1
0,10,6,0,0,107,75,54,32,110,77,55,32,2,0,18,0,2,0
0,107,2,1,0,33,22,58,23,36,22,61,23,1,0,33,0,0,0
1,153,2,0,1,7,29,28,52,7,29,28,53,0,0,0,0,0,0
0,68,7,0,0,6,0,66,0,10,0,77,0,1,0,100,0,1,0
1,68,2,0,1,31,32,64,47,35,36,65,49,1,0,100,0,0,0
0,153,6,0,0,72,70,40,42,73,70,41,43,0,0,0,0,0,0
0,68,7,0,0,37,31,56,53,41,38,59,58,2,0,40,0,1,0
1,153,6,0,0,41,52,42,38,64,58,53,41,0,0,0,0,0,0
