redCorner,blueCorner,winner,event,referee,method_of_victory,red_Knockdowns,blue_Knockdowns,red_sig_str,blue_sig_str,red_sig_str_percentage,blue_sig_str_percentage,red_total_strikes,blue_total_strikes,red_takedowns,blue_takedowns,red_takedown_percentage,blue_takedown_percentage,red_subs_attempted,blue_subs_attempted
Brendan Allen,Paul Craig,Brendan Allen,UFC Fight Night: Allen vs. Craig,Mark Smith,Submission,0,0,32 of 43,6 of 14,74%,42%,52 of 64,13 of 21,2 of 2,0 of 2,100%,0%,2,1
Michael Morales,Jake Matthews,Michael Morales,UFC Fight Night: Allen vs. Craig,Herb Dean,Decision - Unanimous,0,0,84 of 208,57 of 149,40%,38%,84 of 208,57 of 149,0 of 1,0 of 1,0%,0%,0,0
Chase Hooper,Jordan Leavitt,Chase Hooper,UFC Fight Night: Allen vs. Craig,Mike Beltran,Submission,0,0,1 of 3,3 of 4,33%,75%,13 of 18,5 of 10,0 of 0,0 of 2,---,0%,1,0
Payton Talbott,Nick Aguirre,Payton Talbott,UFC Fight Night: Allen vs. Craig,Mark Smith,Submission,0,0,28 of 53,5 of 12,52%,41%,58 of 90,18 of 29,0 of 0,2 of 10,---,20%,1,0
Luana Pinheiro,Amanda Ribas,Amanda Ribas,UFC Fight Night: Allen vs. Craig,Chris Tognoni,KO/TKO,0,1,55 of 116,87 of 224,47%,38%,56 of 120,96 of 234,1 of 6,0 of 1,16%,0%,0,0
Uros Medic,Myktybek Orolbai,Myktybek Orolbai,UFC Fight Night: Allen vs. Craig,Mike Beltran,Submission,0,0,14 of 27,8 of 20,51%,40%,17 of 32,16 of 31,0 of 0,7 of 10,---,70%,0,1
Jonathan Pearce,Joanderson Brito,Joanderson Brito,UFC Fight Night: Allen vs. Craig,Herb Dean,Submission,0,0,14 of 16,8 of 20,87%,40%,81 of 96,33 of 47,1 of 4,1 of 1,25%,100%,0,1
Chad Anheliger,Jose Johnson,Jose Johnson,UFC Fight Night: Allen vs. Craig,Chris Tognoni,Submission,0,0,26 of 71,63 of 108,36%,58%,47 of 103,141 of 198,4 of 8,1 of 2,50%,50%,0,1
Christian Leroy Duncan,Denis Tiuliulin,Christian Leroy Duncan,UFC Fight Night: Allen vs. Craig,Mike Beltran,KO/TKO,1,0,65 of 87,30 of 71,74%,42%,90 of 123,37 of 81,0 of 2,0 of 0,0%,---,0,0
Mick Parkin,Caio Machado,Mick Parkin,UFC Fight Night: Allen vs. Craig,Mark Smith,Decision - Unanimous,0,0,39 of 98,76 of 132,39%,57%,69 of 139,103 of 164,3 of 10,0 of 1,30%,0%,0,0
Jeka Saragih,Lucas Alexander,Jeka Saragih,UFC Fight Night: Allen vs. Craig,Herb Dean,KO/TKO,1,0,4 of 9,11 of 16,44%,68%,4 of 9,11 of 16,1 of 1,0 of 1,100%,0%,0,0
Lucie Pudilova,Ailin Perez,Ailin Perez,UFC Fight Night: Allen vs. Craig,Chris Tognoni,Decision - Unanimous,0,0,20 of 42,42 of 74,47%,56%,41 of 67,123 of 180,0 of 0,2 of 8,---,25%,1,0
Trey Ogden,Nikolas Motta,,UFC Fight Night: Allen vs. Craig,Mike Beltran,Overturned,0,0,58 of 83,14 of 80,69%,17%,96 of 128,16 of 82,3 of 16,0 of 0,18%,---,1,0
Charles Johnson,Rafael Estevam,Rafael Estevam,UFC Fight Night: Allen vs. Craig,Chris Tognoni,Decision - Unanimous,0,0,72 of 109,18 of 43,66%,41%,116 of 161,35 of 77,0 of 0,3 of 22,---,13%,0,1
Jiri Prochazka,Alex Pereira,Alex Pereira,UFC 295: Prochazka vs. Pereira,Marc Goddard,KO/TKO,0,1,30 of 53,38 of 61,56%,62%,44 of 70,49 of 72,1 of 3,0 of 0,33%,---,0,1
Sergei Pavlovich,Tom Aspinall,Tom Aspinall,UFC 295: Prochazka vs. Pereira,Dan Miragliotta,KO/TKO,0,1,1 of 7,10 of 14,14%,71%,1 of 7,10 of 14,0 of 0,0 of 0,---,---,0,0
Jessica Andrade,Mackenzie Dern,Jessica Andrade,UFC 295: Prochazka vs. Pereira,Keith Peterson,KO/TKO,4,0,53 of 107,49 of 114,49%,42%,53 of 107,50 of 115,0 of 0,0 of 4,---,0%,0,0
Matt Frevola,Benoit Saint Denis,Benoit Saint Denis,UFC 295: Prochazka vs. Pereira,Mike Beltran,KO/TKO,0,1,5 of 9,6 of 11,55%,54%,7 of 12,10 of 15,2 of 2,0 of 0,100%,---,0,0
Diego Lopes,Pat Sabatini,Diego Lopes,UFC 295: Prochazka vs. Pereira,Keith Peterson,KO/TKO,1,0,13 of 18,7 of 12,72%,58%,13 of 18,10 of 16,0 of 1,0 of 2,0%,0%,0,0
Steve Erceg,Alessandro Costa,Steve Erceg,UFC 295: Prochazka vs. Pereira,Marc Goddard,Decision - Unanimous,0,0,74 of 125,54 of 97,59%,55%,104 of 162,85 of 129,1 of 8,1 of 6,12%,16%,1,0
Tabatha Ricci,Loopy Godinez,Loopy Godinez,UFC 295: Prochazka vs. Pereira,Dan Miragliotta,Decision - Split,0,0,84 of 224,98 of 221,37%,44%,91 of 232,101 of 225,0 of 6,0 of 1,0%,0%,0,0
Mateusz Rebecki,Roosevelt Roberts,Mateusz Rebecki,UFC 295: Prochazka vs. Pereira,Mike Beltran,Submission,0,0,10 of 16,2 of 7,62%,28%,28 of 38,6 of 12,2 of 2,0 of 0,100%,---,1,0
Nazim Sadykhov,Viacheslav Borshchev,,UFC 295: Prochazka vs. Pereira,Keith Peterson,Decision - Majority,1,0,91 of 207,143 of 241,43%,59%,109 of 228,144 of 242,4 of 7,0 of 0,57%,---,0,0
Jared Gordon,Mark Madsen,Jared Gordon,UFC 295: Prochazka vs. Pereira,Marc Goddard,KO/TKO,1,0,36 of 66,35 of 57,54%,61%,54 of 87,46 of 69,0 of 0,0 of 0,---,---,0,0
John Castaneda,Kyung Ho Kang,John Castaneda,UFC 295: Prochazka vs. Pereira,Dan Miragliotta,Decision - Unanimous,0,0,111 of 179,88 of 202,62%,43%,119 of 187,88 of 203,3 of 8,0 of 0,37%,---,0,0
Joshua Van,Kevin Borjas,Joshua Van,UFC 295: Prochazka vs. Pereira,Mike Beltran,Decision - Unanimous,0,0,156 of 300,75 of 197,52%,38%,165 of 311,78 of 200,2 of 4,0 of 3,50%,0%,0,0
Dennis Buzukja,Jamall Emmers,Jamall Emmers,UFC 295: Prochazka vs. Pereira,Keith Peterson,KO/TKO,0,1,3 of 7,14 of 20,42%,70%,3 of 7,14 of 20,0 of 0,0 of 0,---,---,0,0
Jailton Almeida,Derrick Lewis,Jailton Almeida,UFC Fight Night: Almeida vs. Lewis,Marc Goddard,Decision - Unanimous,0,0,38 of 56,20 of 39,67%,51%,120 of 153,28 of 54,6 of 15,0 of 2,40%,0%,4,0
Gabriel Bonfim,Nicolas Dalby,Nicolas Dalby,UFC Fight Night: Almeida vs. Lewis,Jason Herzog,KO/TKO,0,1,39 of 91,53 of 113,42%,46%,47 of 103,64 of 128,3 of 5,0 of 1,60%,0%,1,0
Rodrigo Nascimento,Don'Tale Mayes,Rodrigo Nascimento,UFC Fight Night: Almeida vs. Lewis,Osiris Maia,Decision - Unanimous,0,0,70 of 154,79 of 159,45%,49%,91 of 180,105 of 190,0 of 3,0 of 1,0%,0%,0,0
Caio Borralho,Abus Magomedov,Caio Borralho,UFC Fight Night: Almeida vs. Lewis,Marc Goddard,Decision - Unanimous,1,0,51 of 103,38 of 107,49%,35%,70 of 126,39 of 110,0 of 1,0 of 0,0%,---,0,0
Elves Brener,Kaynan Kruschewsky,Elves Brener,UFC Fight Night: Almeida vs. Lewis,Osiris Maia,KO/TKO,1,0,16 of 33,8 of 31,48%,25%,16 of 33,8 of 31,0 of 0,0 of 0,---,---,0,0
Rinat Fakhretdinov,Elizeu Zaleski dos Santos,,UFC Fight Night: Almeida vs. Lewis,Fernando Portella,Decision - Majority,1,0,87 of 186,75 of 152,46%,49%,109 of 216,115 of 211,1 of 9,0 of 1,11%,0%,0,1
Vitor Petrino,Modestas Bukauskas,Vitor Petrino,UFC Fight Night: Almeida vs. Lewis,Marc Goddard,KO/TKO,1,0,8 of 26,9 of 19,30%,47%,14 of 34,12 of 23,1 of 2,0 of 0,50%,---,0,0
Angela Hill,Denise Gomes,Angela Hill,UFC Fight Night: Almeida vs. Lewis,Fernando Portella,Decision - Unanimous,0,0,76 of 120,62 of 133,63%,46%,96 of 153,111 of 203,5 of 9,1 of 3,55%,33%,0,0
Eduarda Moura,Montserrat Conejo Ruiz,Eduarda Moura,UFC Fight Night: Almeida vs. Lewis,Joao Claudio Soares,KO/TKO,0,0,57 of 77,5 of 22,74%,22%,102 of 139,9 of 29,3 of 3,0 of 0,100%,---,0,0
Kaue Fernandes,Marc Diakiese,Marc Diakiese,UFC Fight Night: Almeida vs. Lewis,Jason Herzog,Decision - Split,0,0,23 of 42,13 of 32,54%,40%,67 of 92,65 of 92,1 of 1,3 of 8,100%,37%,0,0
Islam Makhachev,Alexander Volkanovski,Islam Makhachev,UFC 294: Makhachev vs. Volkanovski 2,Marc Goddard,KO/TKO,1,0,24 of 29,4 of 6,82%,66%,39 of 46,11 of 18,0 of 1,0 of 0,0%,---,0,0
Kamaru Usman,Khamzat Chimaev,Khamzat Chimaev,UFC 294: Makhachev vs. Volkanovski 2,Jason Herzog,Decision - Majority,0,0,36 of 66,38 of 70,54%,54%,58 of 92,107 of 143,0 of 1,4 of 12,0%,33%,0,1
Magomed Ankalaev,Johnny Walker,,UFC 294: Makhachev vs. Volkanovski 2,Daniel Movahedi,Could Not Continue,0,0,13 of 19,14 of 27,68%,51%,16 of 23,17 of 30,1 of 1,0 of 0,100%,---,0,0
Ikram Aliskerov,Warlley Alves,Ikram Aliskerov,UFC 294: Makhachev vs. Volkanovski 2,Lukasz Bosacki,KO/TKO,1,0,26 of 36,12 of 16,72%,75%,26 of 36,12 of 16,0 of 0,0 of 0,---,---,0,0
Said Nurmagomedov,Muin Gafurov,Said Nurmagomedov,UFC 294: Makhachev vs. Volkanovski 2,Marc Goddard,Submission,0,0,5 of 11,1 of 3,45%,33%,5 of 11,1 of 3,0 of 0,0 of 1,---,0%,1,0
Tim Elliott,Muhammad Mokaev,Muhammad Mokaev,UFC 294: Makhachev vs. Volkanovski 2,Jason Herzog,Submission,0,0,30 of 43,14 of 33,69%,42%,71 of 87,118 of 146,1 of 1,3 of 6,100%,50%,2,1
Mohammad Yahya,Trevor Peek,Trevor Peek,UFC 294: Makhachev vs. Volkanovski 2,Daniel Movahedi,Decision - Unanimous,0,0,43 of 92,61 of 97,46%,62%,47 of 96,83 of 123,1 of 1,4 of 7,100%,57%,1,0
Javid Basharat,Victor Henry,,UFC 294: Makhachev vs. Volkanovski 2,Lukasz Bosacki,Could Not Continue,0,0,30 of 43,25 of 36,69%,69%,33 of 46,30 of 41,1 of 4,0 of 1,25%,0%,0,0
Abu Azaitar,Sedriques Dumas,Sedriques Dumas,UFC 294: Makhachev vs. Volkanovski 2,Jason Herzog,Decision - Unanimous,0,0,41 of 106,34 of 79,38%,43%,87 of 153,72 of 117,2 of 4,1 of 2,50%,50%,0,0
Mike Breeden,Anshul Jubli,Mike Breeden,UFC 294: Makhachev vs. Volkanovski 2,Marc Goddard,KO/TKO,1,0,92 of 177,103 of 194,51%,53%,94 of 181,104 of 195,0 of 1,0 of 5,0%,0%,0,0
Nathaniel Wood,Muhammad Naimov,Muhammad Naimov,UFC 294: Makhachev vs. Volkanovski 2,Lukasz Bosacki,Decision - Unanimous,0,0,50 of 72,48 of 81,69%,59%,70 of 94,100 of 140,2 of 7,4 of 9,28%,44%,0,0
Viktoriia Dudakova,Jinh Yu Frey,Viktoriia Dudakova,UFC 294: Makhachev vs. Volkanovski 2,Daniel Movahedi,Decision - Unanimous,1,0,74 of 146,47 of 101,50%,46%,109 of 183,65 of 121,0 of 3,1 of 3,0%,33%,0,0
Shara Magomedov,Bruno Silva,Shara Magomedov,UFC 294: Makhachev vs. Volkanovski 2,Jason Herzog,Decision - Unanimous,0,0,113 of 154,65 of 91,73%,71%,222 of 274,107 of 138,0 of 0,3 of 7,---,42%,0,0
Sodiq Yusuff,Edson Barboza,Edson Barboza,UFC Fight Night: Yusuff vs. Barboza,Herb Dean,Decision - Unanimous,1,1,178 of 351,164 of 324,50%,50%,206 of 397,178 of 347,1 of 2,3 of 4,50%,75%,0,0
Jennifer Maia,Viviane Araujo,Viviane Araujo,UFC Fight Night: Yusuff vs. Barboza,Mark Smith,Decision - Unanimous,0,0,41 of 101,24 of 46,40%,52%,60 of 126,64 of 100,2 of 4,2 of 6,50%,33%,0,1
Jonathan Martinez,Adrian Yanez,Jonathan Martinez,UFC Fight Night: Yusuff vs. Barboza,Kerry Hatley,KO/TKO,2,0,36 of 58,20 of 72,62%,27%,36 of 60,20 of 73,0 of 0,0 of 0,---,---,0,0
Andre Petroski,Michel Pereira,Michel Pereira,UFC Fight Night: Yusuff vs. Barboza,Chris Tognoni,KO/TKO,0,1,0 of 1,6 of 18,0%,33%,0 of 1,6 of 18,0 of 0,0 of 0,---,---,0,0
Christian Rodriguez,Cameron Saaiman,Christian Rodriguez,UFC Fight Night: Yusuff vs. Barboza,Mark Smith,Decision - Unanimous,0,0,83 of 161,73 of 175,51%,41%,92 of 173,87 of 192,3 of 6,0 of 5,50%,0%,2,1
Darren Elkins,TJ Brown,Darren Elkins,UFC Fight Night: Yusuff vs. Barboza,Kerry Hatley,Submission,0,0,11 of 33,15 of 50,33%,30%,95 of 146,45 of 86,5 of 8,2 of 2,62%,100%,2,0
Tainara Lisboa,Ravena Oliveira,Tainara Lisboa,UFC Fight Night: Yusuff vs. Barboza,Chris Tognoni,Decision - Unanimous,0,0,18 of 35,15 of 31,51%,48%,77 of 106,61 of 87,3 of 8,2 of 3,37%,66%,0,0
Terrance McKinney,Brendon Marotte,Terrance McKinney,UFC Fight Night: Yusuff vs. Barboza,Herb Dean,KO/TKO,1,0,14 of 21,1 of 1,66%,100%,14 of 21,1 of 1,0 of 0,0 of 0,---,---,0,0
Irina Alekseeva,Melissa Dixon,Melissa Dixon,UFC Fight Night: Yusuff vs. Barboza,Mark Smith,Decision - Unanimous,1,0,48 of 108,52 of 95,44%,54%,60 of 126,87 of 148,1 of 4,0 of 1,25%,0%,0,0
Chris Gutierrez,Alatengheili,Chris Gutierrez,UFC Fight Night: Yusuff vs. Barboza,Kerry Hatley,Decision - Unanimous,0,0,110 of 197,38 of 133,55%,28%,115 of 203,39 of 134,0 of 0,2 of 4,---,50%,0,0
Ashley Yoder,Emily Ducote,Emily Ducote,UFC Fight Night: Yusuff vs. Barboza,Chris Tognoni,Decision - Unanimous,0,0,102 of 269,117 of 210,37%,55%,105 of 276,119 of 213,0 of 3,1 of 1,0%,100%,0,0
Grant Dawson,Bobby Green,Bobby Green,UFC Fight Night: Dawson vs. Green,Keith Peterson,KO/TKO,0,1,0 of 6,7 of 11,0%,63%,0 of 6,7 of 11,0 of 0,0 of 0,---,---,0,0
Joe Pyfer,Abdul Razak Alhassan,Joe Pyfer,UFC Fight Night: Dawson vs. Green,Mark Smith,Submission,0,0,26 of 62,11 of 28,41%,39%,26 of 63,11 of 28,3 of 4,0 of 0,75%,---,2,1
Alex Morono,Joaquin Buckley,Joaquin Buckley,UFC Fight Night: Dawson vs. Green,Kerry Hatley,Decision - Unanimous,0,0,40 of 141,68 of 176,28%,38%,54 of 161,77 of 186,1 of 2,2 of 4,50%,50%,0,0
Drew Dober,Ricky Glenn,Drew Dober,UFC Fight Night: Dawson vs. Green,Chris Tognoni,KO/TKO,1,0,30 of 53,5 of 22,56%,22%,30 of 53,5 of 22,0 of 0,0 of 1,---,0%,0,0
Alexander Hernandez,Bill Algeo,Bill Algeo,UFC Fight Night: Dawson vs. Green,Keith Peterson,Decision - Unanimous,0,1,75 of 156,110 of 244,48%,45%,76 of 157,119 of 257,0 of 1,1 of 1,0%,100%,0,0
Karolina Kowalkiewicz,Diana Belbita,Karolina Kowalkiewicz,UFC Fight Night: Dawson vs. Green,Kerry Hatley,Decision - Unanimous,0,0,141 of 267,99 of 261,52%,37%,155 of 283,108 of 270,1 of 6,2 of 2,16%,100%,0,0
Nate Maness,Mateus Mendonca,Nate Maness,UFC Fight Night: Dawson vs. Green,Chris Tognoni,KO/TKO,0,0,29 of 35,3 of 7,82%,42%,103 of 114,9 of 16,0 of 0,0 of 3,---,0%,0,0
Vanessa Demopoulos,Kanako Murata,Vanessa Demopoulos,UFC Fight Night: Dawson vs. Green,Mark Smith,Decision - Unanimous,0,0,31 of 65,34 of 64,47%,53%,86 of 144,70 of 116,0 of 1,5 of 6,0%,83%,0,0
Aoriqileng,Johnny Munoz,Aoriqileng,UFC Fight Night: Dawson vs. Green,Keith Peterson,Decision - Unanimous,1,0,44 of 66,7 of 36,66%,19%,120 of 159,31 of 73,2 of 4,4 of 11,50%,36%,0,3
Montana De La Rosa,JJ Aldrich,JJ Aldrich,UFC Fight Night: Dawson vs. Green,Jacob Montalvo,Decision - Unanimous,0,0,67 of 204,65 of 135,32%,48%,70 of 209,66 of 136,0 of 1,0 of 0,0%,---,0,0
Rafael Fiziev,Mateusz Gamrot,Mateusz Gamrot,UFC Fight Night: Fiziev vs. Gamrot,Herb Dean,KO/TKO,0,0,18 of 32,16 of 40,56%,40%,19 of 34,17 of 42,0 of 0,1 of 6,---,16%,0,0
Bryce Mitchell,Dan Ige,Bryce Mitchell,UFC Fight Night: Fiziev vs. Gamrot,Mark Smith,Decision - Unanimous,0,0,23 of 40,18 of 55,57%,32%,37 of 59,32 of 72,5 of 15,0 of 0,33%,---,1,0
Marina Rodriguez,Michelle Waterson-Gomez,Marina Rodriguez,UFC Fight Night: Fiziev vs. Gamrot,Kerry Hatley,KO/TKO,0,0,70 of 102,13 of 32,68%,40%,90 of 130,16 of 37,1 of 1,1 of 6,100%,16%,0,0
Bryan Battle,AJ Fletcher,Bryan Battle,UFC Fight Night: Fiziev vs. Gamrot,Dan Miragliotta,Submission,0,0,45 of 80,25 of 51,56%,49%,63 of 105,29 of 57,1 of 2,0 of 2,50%,0%,1,0
Ricardo Ramos,Charles Jourdain,Charles Jourdain,UFC Fight Night: Fiziev vs. Gamrot,Herb Dean,Submission,0,0,0 of 9,8 of 9,0%,88%,0 of 10,8 of 10,2 of 3,0 of 0,66%,---,1,1
Dan Argueta,Miles Johns,Miles Johns,UFC Fight Night: Fiziev vs. Gamrot,Kerry Hatley,Decision - Unanimous,0,0,33 of 85,43 of 92,38%,46%,38 of 95,52 of 104,2 of 6,2 of 6,33%,33%,2,0
Tim Means,Andre Fialho,Tim Means,UFC Fight Night: Fiziev vs. Gamrot,Dan Miragliotta,KO/TKO,2,0,104 of 143,51 of 103,72%,49%,134 of 178,56 of 110,0 of 2,1 of 1,0%,100%,0,0
Jacob Malkoun,Cody Brundage,Cody Brundage,UFC Fight Night: Fiziev vs. Gamrot,Mark Smith,DQ,0,0,28 of 39,2 of 4,71%,50%,44 of 60,3 of 5,1 of 3,1 of 1,33%,100%,0,0
Mohammed Usman,Jake Collier,Mohammed Usman,UFC Fight Night: Fiziev vs. Gamrot,Dan Miragliotta,Decision - Unanimous,0,0,85 of 191,87 of 183,44%,47%,118 of 234,100 of 198,1 of 3,0 of 0,33%,---,0,2
Mizuki,Hannah Goldy,Mizuki,UFC Fight Night: Fiziev vs. Gamrot,Mark Smith,Decision - Unanimous,0,0,55 of 105,47 of 95,52%,49%,83 of 140,64 of 123,1 of 2,1 of 14,50%,7%,0,0
Tamires Vidal,Montserrat Rendon,Montserrat Rendon,UFC Fight Night: Fiziev vs. Gamrot,Kerry Hatley,Decision - Split,0,0,60 of 109,69 of 182,55%,37%,78 of 131,112 of 240,0 of 3,3 of 5,0%,60%,1,0
Alexa Grasso,Valentina Shevchenko,,UFC Fight Night: Grasso vs. Shevchenko 2,Herb Dean,Decision - Split,1,0,84 of 203,80 of 179,41%,44%,262 of 408,199 of 301,1 of 2,4 of 7,50%,57%,1,1
Kevin Holland,Jack Della Maddalena,Jack Della Maddalena,UFC Fight Night: Grasso vs. Shevchenko 2,Jason Herzog,Decision - Split,0,0,127 of 356,105 of 190,35%,55%,127 of 356,105 of 190,0 of 2,0 of 0,0%,---,0,0
Raul Rosas Jr.,Terrence Mitchell,Raul Rosas Jr.,UFC Fight Night: Grasso vs. Shevchenko 2,Mark Smith,KO/TKO,1,0,18 of 30,6 of 19,60%,31%,19 of 31,6 of 19,0 of 0,0 of 0,---,---,0,0
Daniel Zellhuber,Christos Giagos,Daniel Zellhuber,UFC Fight Night: Grasso vs. Shevchenko 2,Jason Herzog,Submission,0,0,36 of 101,38 of 82,35%,46%,36 of 101,38 of 82,0 of 0,0 of 6,---,0%,1,0
Fernando Padilla,Kyle Nelson,Kyle Nelson,UFC Fight Night: Grasso vs. Shevchenko 2,Chris Tognoni,Decision - Unanimous,0,0,72 of 208,82 of 184,34%,44%,73 of 209,83 of 185,0 of 1,0 of 3,0%,0%,0,0
Loopy Godinez,Elise Reed,Loopy Godinez,UFC Fight Night: Grasso vs. Shevchenko 2,Herb Dean,Submission,1,0,21 of 31,3 of 13,67%,23%,37 of 51,34 of 48,5 of 5,0 of 1,100%,0%,6,0
Roman Kopylov,Josh Fremd,Roman Kopylov,UFC Fight Night: Grasso vs. Shevchenko 2,Mark Smith,KO/TKO,1,0,49 of 84,38 of 116,58%,32%,54 of 90,38 of 116,0 of 0,0 of 5,---,0%,0,0
Edgar Chairez,Daniel Lacerda,,UFC Fight Night: Grasso vs. Shevchenko 2,Chris Tognoni,Overturned,0,0,12 of 20,4 of 14,60%,28%,12 of 20,8 of 18,0 of 0,1 of 2,---,50%,1,0
Tracy Cortez,Jasmine Jasudavicius,Tracy Cortez,UFC Fight Night: Grasso vs. Shevchenko 2,Jason Herzog,Decision - Unanimous,0,0,103 of 212,77 of 206,48%,37%,116 of 225,95 of 225,0 of 1,2 of 10,0%,20%,0,0
Alex Reyes,Charlie Campbell,Charlie Campbell,UFC Fight Night: Grasso vs. Shevchenko 2,Mark Smith,KO/TKO,0,1,14 of 38,43 of 72,36%,59%,15 of 39,43 of 72,0 of 2,0 of 0,0%,---,0,0
Josefine Knutsson,Marnic Mann,Josefine Knutsson,UFC Fight Night: Grasso vs. Shevchenko 2,Chris Tognoni,Decision - Unanimous,0,0,81 of 128,8 of 29,63%,27%,147 of 206,39 of 64,3 of 4,0 of 2,75%,0%,0,0
Israel Adesanya,Sean Strickland,Sean Strickland,UFC 293: Adesanya vs. Strickland,Marc Goddard,Decision - Unanimous,0,1,94 of 271,137 of 259,34%,52%,94 of 271,137 of 259,0 of 0,0 of 0,---,---,0,0
Tai Tuivasa,Alexander Volkov,Alexander Volkov,UFC 293: Adesanya vs. Strickland,Herb Dean,Submission,0,1,28 of 67,93 of 143,41%,65%,30 of 69,107 of 164,0 of 0,0 of 1,---,0%,0,1
Manel Kape,Felipe dos Santos,Manel Kape,UFC 293: Adesanya vs. Strickland,Greg Kleynjans,Decision - Unanimous,1,0,112 of 182,99 of 304,61%,32%,116 of 186,101 of 310,1 of 1,0 of 5,100%,0%,0,0
Justin Tafa,Austen Lane,Justin Tafa,UFC 293: Adesanya vs. Strickland,Jim Perdios,KO/TKO,1,0,11 of 14,7 of 14,78%,50%,11 of 14,7 of 15,0 of 0,0 of 0,---,---,0,0
Tyson Pedro,Anton Turkalj,Tyson Pedro,UFC 293: Adesanya vs. Strickland,Marc Goddard,KO/TKO,1,0,16 of 29,8 of 24,55%,33%,16 of 29,9 of 25,0 of 0,0 of 0,---,---,0,0
Carlos Ulberg,Da Woon Jung,Carlos Ulberg,UFC 293: Adesanya vs. Strickland,Herb Dean,Submission,1,0,81 of 154,58 of 120,52%,48%,91 of 165,60 of 123,1 of 2,1 of 2,50%,50%,1,0
Jack Jenkins,Chepe Mariscal,Chepe Mariscal,UFC 293: Adesanya vs. Strickland,Greg Kleynjans,KO/TKO,0,0,41 of 68,38 of 87,60%,43%,43 of 70,87 of 143,0 of 1,1 of 1,0%,100%,0,0
Jamie Mullarkey,John Makdessi,Jamie Mullarkey,UFC 293: Adesanya vs. Strickland,Jim Perdios,Decision - Unanimous,0,0,88 of 179,83 of 188,49%,44%,88 of 179,85 of 190,0 of 2,0 of 1,0%,0%,0,0
Nasrat Haqparast,Landon Quinones,Nasrat Haqparast,UFC 293: Adesanya vs. Strickland,Marc Goddard,Decision - Unanimous,0,0,171 of 377,148 of 354,45%,41%,172 of 378,152 of 359,0 of 5,0 of 0,0%,---,0,0
Blood Diamond,Charles Radtke,Charles Radtke,UFC 293: Adesanya vs. Strickland,Herb Dean,Decision - Unanimous,0,0,44 of 94,35 of 76,46%,46%,75 of 136,63 of 112,0 of 3,1 of 6,0%,16%,0,0
Shane Young,Gabriel Miranda,Gabriel Miranda,UFC 293: Adesanya vs. Strickland,Greg Kleynjans,Submission,0,0,1 of 4,2 of 6,25%,33%,1 of 4,2 of 6,0 of 0,1 of 2,---,50%,0,1
Kevin Jousset,Kiefer Crosbie,Kevin Jousset,UFC 293: Adesanya vs. Strickland,Jim Perdios,Submission,0,0,29 of 58,39 of 59,50%,66%,39 of 69,45 of 66,1 of 1,0 of 0,100%,---,1,0
Ciryl Gane,Serghei Spivac,Ciryl Gane,UFC Fight Night: Gane vs. Spivac,Marc Goddard,KO/TKO,0,0,109 of 156,11 of 44,69%,25%,110 of 157,11 of 44,0 of 0,0 of 1,---,0%,0,0
Manon Fiorot,Rose Namajunas,Manon Fiorot,UFC Fight Night: Gane vs. Spivac,Rich Mitchell,Decision - Unanimous,0,0,58 of 225,60 of 150,25%,40%,62 of 232,60 of 152,0 of 1,0 of 6,0%,0%,0,0
Benoit Saint Denis,Thiago Moises,Benoit Saint Denis,UFC Fight Night: Gane vs. Spivac,Lukasz Bosacki,KO/TKO,0,0,101 of 182,24 of 62,55%,38%,123 of 210,27 of 67,5 of 9,1 of 3,55%,33%,0,1
Volkan Oezdemir,Bogdan Guskov,Volkan Oezdemir,UFC Fight Night: Gane vs. Spivac,Marc Goddard,Submission,1,0,26 of 46,8 of 25,56%,32%,36 of 64,10 of 27,1 of 1,0 of 0,100%,---,1,0
William Gomis,Yanis Ghemmouri,William Gomis,UFC Fight Night: Gane vs. Spivac,Loic Pora,KO/TKO,0,0,52 of 88,28 of 73,59%,38%,61 of 99,40 of 88,0 of 0,0 of 4,---,0%,2,0
Morgan Charriere,Manolo Zecchini,Morgan Charriere,UFC Fight Night: Gane vs. Spivac,Rich Mitchell,KO/TKO,1,0,26 of 49,9 of 41,53%,21%,26 of 49,9 of 41,0 of 0,0 of 0,---,---,0,0
Taylor Lapilus,Caolan Loughran,Taylor Lapilus,UFC Fight Night: Gane vs. Spivac,Lukasz Bosacki,Decision - Unanimous,0,0,84 of 163,48 of 132,51%,36%,87 of 166,70 of 166,0 of 0,2 of 11,---,18%,0,0
Ange Loosa,Rhys McKee,Ange Loosa,UFC Fight Night: Gane vs. Spivac,Loic Pora,Decision - Unanimous,0,0,98 of 182,77 of 183,53%,42%,124 of 220,90 of 198,6 of 10,0 of 0,60%,---,0,0
Nora Cornolle,Joselyne Edwards,Nora Cornolle,UFC Fight Night: Gane vs. Spivac,Lukasz Bosacki,Decision - Unanimous,0,0,40 of 77,18 of 42,51%,42%,85 of 134,75 of 120,0 of 0,5 of 8,---,62%,0,1
Farid Basharat,Kleydson Rodrigues,Farid Basharat,UFC Fight Night: Gane vs. Spivac,Loic Pora,Submission,0,0,4 of 6,7 of 8,66%,87%,25 of 36,25 of 26,2 of 5,0 of 0,40%,---,1,0
